Entity;Type;Superclass(es);BiomarkerOf;HasBiomarker;Contains;IsIngredientOf;FOBI_040232;FOBI_040233;FOBI_040235;FOBI_040236;FOBI_040237;FOBI_040238;FOBI_043480;IAO_0000118;FOBI_050000;FOBI_050001;FOBI_050002;FOBI_050003;dcterms:license;has_obo_format_version;id;rdfs:comment;label;
alpha-Chaconine;Class;'Steroidal saponins';"''potato (whole, raw)''";;;;"'391274'";;"'C10796'";"'442971'";"'TYNQWWGVEGFKRU-AJDPQWBVSA-N'";"'InChI=1S/C45H73NO14/c1-19-7-10-28-20(2)31-29(46(28)17-19)16-27-25-9-8-23-15-24(11-13-44(23,5)26(25)12-14-45(27,31)6)57-43-40(60-42-37(53)35(51)33(49)22(4)56-42)38(54)39(30(18-47)58-43)59-41-36(52)34(50)32(48)21(3)55-41/h8,19-22,24-43,47-54H,7,9-18H2,1-6H3/t19-,20+,21-,22-,24-,25+,26-,27-,28+,29-,30+,31-,32-,33-,34+,35+,36+,37+,38-,39+,40+,41-,42-,43+,44-,45-/m0/s1'";"'FOBI:030714'";"'α-chaconine'";;;;;;;"'CHEBI:10219'";;;
beta-cryptoxanthin;Class;Xanthophylls;"''vegetable food product''	''plant fruit food product''";;;;"'4444647'";;"'C08591'";"'5281235'";"'DMASLKHVQRHNES-FKKUPVFPSA-N'";"'InChI=1S/C40H56O/c1-30(18-13-20-32(3)23-25-37-34(5)22-15-27-39(37,7)8)16-11-12-17-31(2)19-14-21-33(4)24-26-38-35(6)28-36(41)29-40(38,9)10/h11-14,16-21,23-26,36,41H,15,22,27-29H2,1-10H3/b12-11+,18-13+,19-14+,25-23+,26-24+,30-16+,31-17+,32-20+,33-21+/t36-/m1/s1'";"'FOBI:030754'";"'β-cryptoxanthin'";;;;;;;"'CHEBI:10362'";;;
'(S)-carnitine';Class;Carnitines;"''Lean meat''	''Red meat''";;;;"'2006614'";"'HMDB00062'";"'C15025'";"'2724480'";"'PHIQHXFUZVPYII-LURJTMIESA-N'";"'InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/t6-/m0/s1'";"'FOBI:030706'";"'l-carnitine'";;;;;;;"'CHEBI:11060'";;;
'3-(3-hydroxyphenyl)propanoic acid';Class;'Phenylpropanoic acids';"''cacao food product''	''tea based beverage product''	''coffee based beverage product''	''olive oil''	''plant fruit food product''	''legume food product''	''red wine''	''nut (whole or part)''	''vegetable food product''	''Whole grain cereal products''";;;;"'89'";"'HMDB00375'";"'C11457'";"'91'";"'QVWAEZJXDYOKEH-UHFFFAOYSA-N'";"'InChI=1S/C9H10O3/c10-8-3-1-2-7(6-8)4-5-9(11)12/h1-3,6,10H,4-5H2,(H,11,12)'";"'FOBI:030415'";"'3-(3-hydroxyphenyl)propionic acid'";;;;;;;"'CHEBI:1427'";;;
'(+)-catechin';Class;Catechins;"''apple (whole)''	''nut (whole or part)''	''red wine''	''berry (whole, raw)''	''cacao food product''	''tea based beverage product''";;;;;"'HMDB02780'";"'C06562'";"'9064'";"'PFTAWBLQPZVEMU-DZGCQCFKSA-N'";"'InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15+/m0/s1'";"'FOBI:030460'";"'catechin'";;;;;;;"'CHEBI:15600'";;;
'L-tartaric acid';Class;'Sugar acids and derivatives';"''grape (whole, raw)''	''red wine''";;;;;"'HMDB00956'";"'C00898 | D00103'";"'444305'";"'FEWJPZIEWOKRBE-JCYAYHJZSA-N'";"'InChI=1S/C4H6O6/c5-1(3(7)8)2(6)4(9)10/h1-2,5-6H,(H,7,8)(H,9,10)/t1-,2-/m1/s1'";"'FOBI:030630'";"'tartaric acid'";;;;;;;"'CHEBI:15671'";;;
'trimethylamine N-oxide';Class;'Trialkyl amine oxides';"'fish'	''seafood product''";;;;"'1113'";"'HMDB00925'";"'C01104'";"'1145'";"'UYPYRKYUKCHHIB-UHFFFAOYSA-N'";"'InChI=1S/C3H9NO/c1-4(2,3)5/h1-3H3'";"'FOBI:030711'";;;;;;;;"'CHEBI:15724'";;;
carnosine;Class;'Hybrid peptides';"''Red meat''	''Lean meat''";;;;"'388363'";"'HMDB00033'";"'C00386'";"'439224 | 6992100'";"'CQOVPNPJLQNMDC-ZETCQYMHSA-N'";"'InChI=1S/C9H14N4O3/c10-2-1-8(14)13-7(9(15)16)3-6-4-11-5-12-6/h4-5,7H,1-3,10H2,(H,11,12)(H,13,14)(H,15,16)/t7-/m0/s1'";"'FOBI:030687'";;;;;;;;"'CHEBI:15727'";;;
N-methylpyridinium;Class;'N-methylpyridinium compounds';"''coffee based beverage product''	''legume food product''";;;;"'11374613 | 11570712 | 14351918 | 14363886'";;"'C02724'";"'13597'";"'PQBAWAQIRZIWIV-UHFFFAOYSA-N'";"'InChI=1S/C6H8N/c1-7-5-3-2-4-6-7/h2-6H,1H3/q+1'";"'FOBI:030713'";;;;;;;;"'CHEBI:15761'";;;
luteolin;Class;Flavones;"''nut (whole or part)''	''legume food product''	''vegetable food product''	''cacao food product''	''tea based beverage product''	''coffee based beverage product''	''Whole grain cereal products''	''red wine''	''plant fruit food product''	''olive oil''";;;;"'4444102'";"'HMDB05800'";"'C01514'";"'5280445'";"'IQPNAANSBPBGFQ-UHFFFAOYSA-N'";"'InChI=1S/C15H10O6/c16-8-4-11(19)15-12(20)6-13(21-14(15)5-8)7-1-2-9(17)10(18)3-7/h1-6,16-19H'";"'FOBI:030555'";;;;;;;;"'CHEBI:15864'";;;
taurine;Class;'Organosulfonic acids';"''Lean meat''	''Red meat''";;;;"'10675782 | 1091'";"'HMDB00251'";"'C00245 | D00047'";"'1123 | 4068592'";"'XOAAWQZATWQOTB-UHFFFAOYSA-N'";"'InChI=1S/C2H7NO3S/c3-1-2-7(4,5)6/h1-3H2,(H,4,5,6)'";"'FOBI:030709'";;;;;;;;"'CHEBI:15891'";;;
lycopene;Class;Carotenes;"''vegetable food product''	''plant fruit food product''";;;;"'394156'";"'HMDB03000'";"'C05432'";"'446925'";"'OAIJSZIZWZSQBC-GYZMGTAESA-N'";"'InChI=1S/C40H56/c1-33(2)19-13-23-37(7)27-17-31-39(9)29-15-25-35(5)21-11-12-22-36(6)26-16-30-40(10)32-18-28-38(8)24-14-20-34(3)4/h11-12,15-22,25-32H,13-14,23-24H2,1-10H3/b12-11+,25-15+,26-16+,31-17+,32-18+,35-21+,36-22+,37-27+,38-28+,39-29+,40-30+'";"'FOBI:030748'";;;;;;;;"'CHEBI:15948'";;;
'cyclohexylsulfamic acid';Class;Cyclamates;"''soft drink (dietetic)''";;;;"'15484224'";;"'C02824 | D02442'";"'7533'";"'HCAJEUSONLESMK-UHFFFAOYSA-N'";"'InChI=1S/C6H13NO3S/c8-11(9,10)7-6-4-2-1-3-5-6/h6-7H,1-5H2,(H,8,9,10)'";"'FOBI:030625'";"'cyclamate'";;;;;;;"'CHEBI:15964'";;;
'chlorogenic acid';Class;'Quinic acids and derivatives';"''coffee based beverage product''	''tea based beverage product''	''plant fruit food product''	''vegetable food product''";;;;"'1405788'";"'HMDB03164'";"'C00852'";"'1794427'";"'CWVRJTMFETXNAD-JUHZACGLSA-N'";"'InChI=1S/C16H18O9/c17-9-3-1-8(5-10(9)18)2-4-13(20)25-12-7-16(24,15(22)23)6-11(19)14(12)21/h1-5,11-12,14,17-19,21,24H,6-7H2,(H,22,23)/b4-2+/t11-,12-,14-,16+/m1/s1'";"'FOBI:030397'";"'3-caffeoylquinic acid'";;;;;;;"'CHEBI:16112'";;;
pyrogallol;Class;'5-unsubstituted pyrrogallols';"''olive oil''	''plant fruit food product''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''vegetable food product''	''Whole grain cereal products''	''nut (whole or part)''	''red wine''	''legume food product''";;;;"'13760300 | 13835557'";;"'C01108'";"'1057'";"'WQGWDDDVZFFDIG-UHFFFAOYSA-N'";"'InChI=1S/C6H6O3/c7-4-2-1-3-5(8)6(4)9/h1-3,7-9H'";"'FOBI:030432'";;;;;;;;"'CHEBI:16164'";;;
'oleic acid';Class;'Long-chain fatty acids';"''olive oil''";;;;;"'HMDB00207 | HMDB00573'";"'C00712'";"'445639'";"'ZQPPMHVWECSIRJ-KTKRTIGZSA-N'";"'InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/b10-9-'";"'FOBI:030741'";;;;;;;;"'CHEBI:16196'";;;
3-hydroxybenzaldehyde;Class;Benzaldehydes;"''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''Whole grain cereal products''	''red wine''	''vegetable food product''	''legume food product''	''nut (whole or part)''	''plant fruit food product''	''olive oil''";;;;;;"'C03067'";"'101'";"'IAVREABSGIHHMO-UHFFFAOYSA-N'";"'InChI=1S/C7H6O2/c8-5-6-2-1-3-7(9)4-6/h1-5,9H'";"'FOBI:030453'";;;;;;;;"'CHEBI:16207'";;;
quercetin;Class;Flavonols;"''red wine''	''tea based beverage product''	''cacao food product''	''olive oil''	''coffee based beverage product''	''Whole grain cereal products''	''plant fruit food product''	''legume food product''	''nut (whole or part)''	''vegetable food product''";;;;"'15139441 | 4444051'";"'HMDB05794'";"'C00389'";"'5280343'";"'REFJWTPEDVJJIY-UHFFFAOYSA-N'";"'InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H'";"'FOBI:030558'";;;;;;;;"'CHEBI:16243'";;;
'phytanic acid';Class;'Acyclic diterpenoids';"''dairy food product''	''Red meat''";;;;"'25001'";"'HMDB00801'";"'C01607'";"'26840'";"'RLCKHJSFHOZMDR-UHFFFAOYSA-N'";"'InChI=1S/C20H40O2/c1-16(2)9-6-10-17(3)11-7-12-18(4)13-8-14-19(5)15-20(21)22/h16-19H,6-15H2,1-5H3,(H,21,22)'";"'FOBI:08823'";;;;;;;;"'CHEBI:16285'";;;
'trans-5-O-caffeoyl-D-quinic acid';Class;'Quinic acids and derivatives';"''tea based beverage product''	''coffee based beverage product''	''plant fruit food product''	''vegetable food product''";;;;"'4444237'";;"'C17147'";"'5280633'";"'CWVRJTMFETXNAD-NXLLHMKUSA-N'";"'InChI=1S/C16H18O9/c17-9-3-1-8(5-10(9)18)2-4-13(20)25-12-7-16(24,15(22)23)6-11(19)14(12)21/h1-5,11-12,14,17-19,21,24H,6-7H2,(H,22,23)/b4-2+/t11-,12-,14+,16-/m1/s1'";"'FOBI:030399'";"'5-caffeoylquinic acid'";;;;;;;"'CHEBI:16384'";;;
'indole-3-acetic acid';Class;'Indole-3-acetic acid derivatives';"''legume food product''	''egg food product''	''meat food product''	''nut (whole or part)''	''soybean (whole)''	''Whole grain cereal products''	''dairy food product''";;;;"'780'";"'HMDB00197'";"'C00954'";"'802'";"'SEOVTRFCIGRIMH-UHFFFAOYSA-N'";"'InChI=1S/C10H9NO2/c12-10(13)5-7-6-11-9-4-2-1-3-8(7)9/h1-4,6,11H,5H2,(H,12,13)'";"'FOBI:030704'";;;;;;;;"'CHEBI:16411'";;;
'DIMBOA glucoside';Class;'O-glycosyl compounds';"''Whole grain cereal products''";;;;"'9307589'";;"'C04831'";"'11132470'";"'WTGXAWKVZMQEDA-XGHDNVSXSA-N'";"'InChI=1S/C15H19NO10/c1-23-6-2-3-7-8(4-6)24-15(13(21)16(7)22)26-14-12(20)11(19)10(18)9(5-17)25-14/h2-4,9-12,14-15,17-20,22H,5H2,1H3/t9-,10-,11+,12-,14+,15?/m1/s1'";"'FOBI:030737'";"'2-β-d-glucopyranosyloxy-4-hydroxy-7-methoxy-1,4-benzoxazin-3-one'";;;;;;;"'CHEBI:16603'";;;
creatinine;Class;'Alpha amino acids and derivatives';"''Lean meat''	''Red meat''";;;;"'13325157 | 568'";"'HMDB00562'";"'C00791 | D03600'";"'588'";"'DDRJAANPRJIHGJ-UHFFFAOYSA-N'";"'InChI=1S/C4H7N3O/c1-7-2-3(8)6-4(7)5/h2H2,1H3,(H2,5,6,8)'";"'FOBI:030708'";;;;;;;;"'CHEBI:16737'";;;
L-tryptophan;Class;'Indolyl carboxylic acids and derivatives';"''dairy food product''	''meat food product''	''Whole grain cereal products''	''nut (whole or part)''	''soybean (whole)''	''egg food product''	''legume food product''";;;;;"'HMDB00929'";"'C00078 | D00020'";"'6305 | 6923516'";"'QIVBCDIJIAJPQS-VIFPVBQESA-N'";"'InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1'";"'FOBI:030701'";;;;;;;;"'CHEBI:16828'";;;
'salicylic acid';Class;'Salicylic acids';"''olive oil''	''tea based beverage product''	''cacao food product''	''legume food product''	''plant fruit food product''	''nut (whole or part)''	''red wine''	''Whole grain cereal products''	''vegetable food product''	''coffee based beverage product''";;;;"'14879126 | 16373679 | 331'";"'HMDB01895'";"'C00805 | D00097'";"'338'";"'YGSDEFSMJLZEOE-UHFFFAOYSA-N'";"'InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)'";"'FOBI:030318'";"'2-hydroxybenzoic acid'";;;;;;;"'CHEBI:16914'";;;
beta-alanine;Class;'Beta amino acids and derivatives';"''Red meat''";;;;"'16382018 | 234'";"'HMDB00056'";"'C00099 | D07561'";"'239 | 4755801'";"'UCMIRNVEIXFBKS-UHFFFAOYSA-N'";"'InChI=1S/C3H7NO2/c4-2-1-3(5)6/h1-2,4H2,(H,5,6)'";"'FOBI:030691'";"'β-alanine'";;;;;;;"'CHEBI:16958'";;;
4-methylcatechol;Class;Catechols;"''olive oil''	''cacao food product''	''tea based beverage product''	''coffee based beverage product''	''Whole grain cereal products''	''vegetable food product''	''legume food product''	''plant fruit food product''	''red wine''	''nut (whole or part)''";;;;"'13200746'";"'HMDB00873'";"'C06730'";"'9958'";"'ZBCATMYQYDCTIZ-UHFFFAOYSA-N'";"'InChI=1S/C7H8O2/c1-5-2-3-6(8)7(9)4-5/h2-4,8-9H,1H3'";"'FOBI:030447'";;;;;;;;"'CHEBI:17254'";;;
phloretin;Class;2'-Hydroxy-dihydrochalcones;"''apple (whole)''";;;;;"'HMDB03306'";"'C00774'";"'4788'";"'VGEREEWJJVICBM-UHFFFAOYSA-N'";"'InChI=1S/C15H14O5/c16-10-4-1-9(2-5-10)3-6-12(18)15-13(19)7-11(17)8-14(15)20/h1-2,4-5,7-8,16-17,19-20H,3,6H2'";"'FOBI:030568'";;;;;;;;"'CHEBI:17276'";;;
L-phenylalanine;Class;'Phenylalanine and derivatives';"''egg food product''	''soybean (whole)''	''nut (whole or part)''	''Whole grain cereal products''	''meat food product''	''dairy food product''	''legume food product''";;;;;"'HMDB00159'";"'C00079 | D00021'";"'6140 | 6925665'";"'COLNVLDHVKWLRT-QMMMGPOBSA-N'";"'InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1'";"'FOBI:030692'";;;;;;;;"'CHEBI:17295'";;;
bergaptol;Class;5-hydroxypsoralens;"''grapefruit (whole, raw)''";;;;"'4444066'";;"'C00758'";"'5280371'";"'GIJHDGJRTUSBJR-UHFFFAOYSA-N'";"'InChI=1S/C11H6O4/c12-10-2-1-6-9(15-10)5-8-7(11(6)13)3-4-14-8/h1-5,13H'";"'FOBI:030523'";;;;;;;;"'CHEBI:17377'";;;
'3-(4-hydroxyphenyl)lactic acid';Class;'Phenylpropanoic acids';"''dairy food product''	''meat food product''	''Whole grain cereal products''	''egg food product''	''soybean (whole)''	''nut (whole or part)''	''legume food product''";;;;;"'HMDB00755'";"'C03672'";"'9378'";"'JVGVDSSUAVXRDY-UHFFFAOYSA-N'";"'InChI=1S/C9H10O4/c10-7-3-1-6(2-4-7)5-8(11)9(12)13/h1-4,8,10-11H,5H2,(H,12,13)'";"'FOBI:030694'";"'p-hydroxyphenyllactic acid'";;;;;;;"'CHEBI:17385'";;;
'cis-caffeic acid';Class;'Hydroxycinnamic acids';"''plant fruit food product''	''olive oil''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''Whole grain cereal products''	''red wine''	''vegetable food product''	''nut (whole or part)''	''legume food product''";;;;"'1266077'";"'HMDB01964'";;"'1549111'";"'QAIPRVGONGVQAS-RQOWECAXSA-N'";"'InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)/b4-2-'";"'FOBI:030392'";"'caffeic acid'";;;;;;;"'CHEBI:17395'";;;
'cyanocob(III)alamin';Class;'Catechin gallates';"''dairy food product''	''egg food product''	''meat food product''";;;;;"'HMDB0000607'";"'C02823'";"'129627537'";"'FDJOLVPMNUYSCM-WZHZPDAFSA-L'";"'InChI=1S/C62H90N13O14P.CN.Co/c1-29-20-39-40(21-30(29)2)75(28-70-39)57-52(84)53(41(27-76)87-57)89-90(85,86)88-31(3)26-69-49(83)18-19-59(8)37(22-46(66)80)56-62(11)61(10,25-48(68)82)36(14-17-45(65)79)51(74-62)33(5)55-60(9,24-47(67)81)34(12-15-43(63)77)38(71-55)23-42-58(6,7)35(13-16-44(64)78)50(72-42)32(4)54(59)73-56;1-2;/h20-21,23,28,31,34-37,41,52-53,56-57,76,84H,12-19,22,24-27H2,1-11H3,(H15,63,64,65,66,67,68,69,71,72,73,74,77,78,79,80,81,82,83,85,86);;/q;-1;+3/p-2/t31-,34-,35-,36-,37+,41-,52-,53-,56-,57+,59-,60+,61+,62+;;/m1../s1'";"'FOBI:030744'";"'cyanocobalamin'";;;;;;;"'CHEBI:17439'";;;
'3-hydroxyphenylacetic acid';Class;'1-hydroxy-4-unsubstituted benzenoids';"''red wine''	''Whole grain cereal products''	''vegetable food product''	''coffee based beverage product''	''olive oil''	''tea based beverage product''	''cacao food product''	''legume food product''	''plant fruit food product''	''nut (whole or part)''";;;;"'16253543'";"'HMDB00440'";"'C05593'";"'12122'";"'FVMDYYGIDFPZAX-UHFFFAOYSA-N'";"'InChI=1S/C8H8O3/c9-7-3-1-2-6(4-7)5-8(10)11/h1-4,9H,5H2,(H,10,11)'";"'FOBI:030369'";;;;;;;;"'CHEBI:17445'";;;
'biochanin A';Class;4'-O-methylisoflavones;"''legume food product''	''soybean (whole)''";;;;"'4444068'";"'HMDB02338'";"'C00814'";"'5280373'";"'WUADCCWRTIWANL-UHFFFAOYSA-N'";"'InChI=1S/C16H12O5/c1-20-11-4-2-9(3-5-11)12-8-21-14-7-10(17)6-13(18)15(14)16(12)19/h2-8,17-18H,1H3'";"'FOBI:030547'";;;;;;;;"'CHEBI:17574'";;;
beta-carotene;Class;Carotenes;"''vegetable food product''	''plant fruit food product''";;;;"'4444129'";"'HMDB00561'";"'C02094'";"'5280489'";"'OENHQHLEOONYIE-JLTXGRSLSA-N'";"'InChI=1S/C40H56/c1-31(19-13-21-33(3)25-27-37-35(5)23-15-29-39(37,7)8)17-11-12-18-32(2)20-14-22-34(4)26-28-38-36(6)24-16-30-40(38,9)10/h11-14,17-22,25-28H,15-16,23-24,29-30H2,1-10H3/b12-11+,19-13+,20-14+,27-25+,28-26+,31-17+,32-18+,33-21+,34-22+'";"'FOBI:030747'";"'β-carotene'";;;;;;;"'CHEBI:17579'";;;
4-hydroxybenzaldehyde;Class;Benzaldehydes;"''Whole grain cereal products''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''plant fruit food product''	''vegetable food product''	''olive oil''	''red wine''	''nut (whole or part)''	''legume food product''";;;;"'123 | 16234504'";"'HMDB11718'";"'C00633'";"'126'";"'RGHHSNMVTDWUBI-UHFFFAOYSA-N'";"'InChI=1S/C7H6O2/c8-5-6-1-3-7(9)4-2-6/h1-5,9H'";"'FOBI:030454'";;;;;;;;"'CHEBI:17597'";;;
'ferulic acid';Class;'Hydroxycinnamic acids';"''legume food product''	''nut (whole or part)''	''red wine''	''Whole grain cereal products''	''plant fruit food product''	''olive oil''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''vegetable food product''";;;;"'393368'";"'HMDB00954'";"'C01494'";"'445858'";"'KSEBMYQBYZTDHS-HWKANZROSA-N'";"'InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)/b5-3+'";"'FOBI:030406'";;;;;;;;"'CHEBI:17620'";;;
N-feruloylglycine;Class;'N-acyl-alpha amino acids and derivatives';"''cacao food product''	''coffee based beverage product''	''olive oil''	''tea based beverage product''	''plant fruit food product''	''legume food product''	''red wine''	''nut (whole or part)''	''Whole grain cereal products''	''vegetable food product''";;;;"'4444158'";;"'C02564'";"'5280527'";"'CLGNQAIRBLDHIN-HWKANZROSA-N'";"'InChI=1S/C12H13NO5/c1-18-10-6-8(2-4-9(10)14)3-5-11(15)13-7-12(16)17/h2-6,14H,7H2,1H3,(H,13,15)(H,16,17)/b5-3+'";"'FOBI:030674'";"'feruloylglycine'";;;;;;;"'CHEBI:17691'";;;
'(S)-naringenin';Class;Flavanones;"''tomato (whole, raw)''	''citrus fruit food product''";;;;"'388383'";"'HMDB02670'";"'C00509'";"'439246'";"'FTVWIRXFELQLPI-ZDUSSCGKSA-N'";"'InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2/t13-/m0/s1'";"'FOBI:030514'";"'naringenin'";;;;;;;"'CHEBI:17846'";;;
p-cresol;Class;'Para cresols';"''Whole grain cereal products''	''meat food product''	''dairy food product''	''nut (whole or part)''	''egg food product''	''soybean (whole)''	''legume food product''";;;;"'13285340 | 13839082'";"'HMDB01858'";"'C01468'";"'2879'";"'IWDCLRJOBJJRNH-UHFFFAOYSA-N'";"'InChI=1S/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3'";"'FOBI:030698'";;;;;;;;"'CHEBI:17847'";;;
'N(2)-phenylacetyl-L-glutamine';Class;'N-acyl-alpha amino acids and derivatives';"''legume food product''	''egg food product''	''Whole grain cereal products''	''dairy food product''	''soybean (whole)''	''nut (whole or part)''	''meat food product''";;;;"'83292'";"'HMDB06344'";"'C04148'";"'92258'";"'JFLIEFSWGNOPJJ-JTQLQIEISA-N'";"'InChI=1S/C13H16N2O4/c14-11(16)7-6-10(13(18)19)15-12(17)8-9-4-2-1-3-5-9/h1-5,10H,6-8H2,(H2,14,16)(H,15,17)(H,18,19)/t10-/m0/s1'";"'FOBI:030696'";"'phenylacetylglutamine'";;;;;;;"'CHEBI:17884'";;;
L-tyrosine;Class;'Tyrosine and derivatives';"''legume food product''	''soybean (whole)''	''egg food product''	''Whole grain cereal products''	''nut (whole or part)''	''dairy food product''	''meat food product''";;;;;"'HMDB00158'";"'C00082 | D00022'";"'6057 | 6942100'";"'OUYCCCASQSFEME-QMMMGPOBSA-N'";"'InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1'";"'FOBI:030697'";;;;;;;;"'CHEBI:17895'";;;
sucrose;Class;'O-glycosyl compounds';"'sugar'	''plant fruit food product''	''soft drink''";;;;;"'HMDB00258'";"'C00089 | D00025'";"'5988'";"'CZMRCDWAGMRECN-UGDNZRGBSA-N'";"'InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1'";"'FOBI:030757'";;;;;;;;"'CHEBI:17992'";;;
DIMBOA;Class;Benzoxazinones;"''Whole grain cereal products''";;;;;;"'C04720'";"'2358'";"'GDNZNIJPBQATCZ-UHFFFAOYSA-N'";"'InChI=1S/C9H9NO5/c1-14-5-2-3-6-7(4-5)15-9(12)8(11)10(6)13/h2-4,9,12-13H,1H3'";"'FOBI:030736'";"'2,4-dihydroxy-7-methoxy-1,4-benzoxazin-3-one'";;;;;;;"'CHEBI:18048'";;;
formononetin;Class;4'-O-methylisoflavones;"''soybean (whole)''	''legume food product''";;;;"'4444070'";"'HMDB05808'";"'C00858'";"'5280378'";"'HKQYGTCOTHHOMP-UHFFFAOYSA-N'";"'InChI=1S/C16H12O4/c1-19-12-5-2-10(3-6-12)14-9-20-15-8-11(17)4-7-13(15)16(14)18/h2-9,17H,1H3'";"'FOBI:030550'";;;;;;;;"'CHEBI:18088'";;;
N-benzoylglycine;Class;'Hippuric acids';"''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''red wine''	''Whole grain cereal products''	''nut (whole or part)''	''olive oil''	''plant fruit food product''	''legume food product''	''vegetable food product''";;;;"'10658403 | 451'";"'HMDB00714'";"'C01586'";"'464'";"'QIAFMBKCNZACKA-UHFFFAOYSA-N'";"'InChI=1S/C9H9NO3/c11-8(12)6-10-9(13)7-4-2-1-3-5-7/h1-5H,6H2,(H,10,13)(H,11,12)'";"'FOBI:030340'";"'hippuric acid'";;;;;;;"'CHEBI:18089'";;;
trans-4-hydroxy-L-proline;Class;'Proline and derivatives';"''meat food product''";;;;;"'HMDB00725'";"'C01157'";"'5810 | 6971053'";"'PMMYEEVYMWASQN-DMTCNVIQSA-N'";"'InChI=1S/C5H9NO3/c7-3-1-4(5(8)9)6-2-3/h3-4,6-7H,1-2H2,(H,8,9)/t3-,4+/m1/s1'";"'FOBI:08828'";"'4-hydroxyproline'";;;;;;;"'CHEBI:18095'";;;
'4-hydroxyphenylacetic acid';Class;'1-hydroxy-2-unsubstituted benzenoids';"''legume food product''	''plant fruit food product''	''red wine''	''nut (whole or part)''	''vegetable food product''	''coffee based beverage product''	''olive oil''	''Whole grain cereal products''	''tea based beverage product''	''cacao food product''";;;;"'124 | 14485716'";"'HMDB00020'";"'C00642'";"'127'";"'XQXPVVBIMDBYFF-UHFFFAOYSA-N'";"'InChI=1S/C8H8O3/c9-7-3-1-6(2-4-7)5-8(10)11/h1-4,9H,5H2,(H,10,11)'";"'FOBI:030370'";;;;;;;;"'CHEBI:18101'";;;
2-aminophenol;Class;'Aniline and substituted anilines';"''Whole grain cereal products''";;;;"'11613535 | 14598679'";;"'C01987'";"'5801'";"'CDAWCLOXVUBKRW-UHFFFAOYSA-N'";"'InChI=1S/C6H7NO/c7-5-3-1-2-4-6(5)8/h1-4,8H,7H2'";"'FOBI:030671'";;;;;;;;"'CHEBI:18112'";;;
N-methylnicotinate;Class;'Alkaloids and derivatives';"''legume food product''	''coffee based beverage product''";;;;;"'HMDB00875'";"'C01004'";"'5570'";"'WWNNZCOKKKDOPX-UHFFFAOYSA-N'";"'InChI=1S/C7H7NO2/c1-8-4-2-3-6(5-8)7(9)10/h2-5H,1H3'";"'FOBI:030712'";"'trigonelline'";;;;;;;"'CHEBI:18123'";;;
'trans-2-coumaric acid';Class;'Hydroxycinnamic acids';"''legume food product''	''plant fruit food product''	''vegetable food product''	''Whole grain cereal products''	''red wine''	''olive oil''	''nut (whole or part)''	''cacao food product''	''tea based beverage product''	''coffee based beverage product''";;;;"'553146'";"'HMDB02641'";"'C01772'";"'637540'";"'PMOWTIHVNWZYFI-AATRIKPKSA-N'";"'InChI=1S/C9H8O3/c10-8-4-2-1-3-7(8)5-6-9(11)12/h1-6,10H,(H,11,12)/b6-5+'";"'FOBI:030383'";"'o-coumaric acid'";;;;;;;"'CHEBI:18125'";;;
